Date,Borough,count
20200101,Brooklyn,3930
20200101,Manhattan,13671
20200101,Queen,513
20200102,Brooklyn,6847
20200102,Manhattan,33687
20200102,Queen,1022
20200103,Brooklyn,5501
20200103,Manhattan,25592
20200103,Queen,780
20200104,Brooklyn,6325
20200104,Manhattan,22180
20200104,Queen,931
20200105,Brooklyn,6062
20200105,Manhattan,20721
20200105,Queen,806
20200106,Brooklyn,6908
20200106,Manhattan,34805
20200106,Queen,1025
20200107,Brooklyn,7550
20200107,Manhattan,37886
20200107,Queen,1099
20200108,Brooklyn,6849
20200108,Manhattan,34552
20200108,Queen,999
20200109,Brooklyn,6544
20200109,Manhattan,31910
20200109,Queen,890
20200110,Brooklyn,8684
20200110,Manhattan,40973
20200110,Queen,1143
20200111,Brooklyn,12646
20200111,Manhattan,42121
20200111,Queen,1771
20200112,Brooklyn,11944
20200112,Manhattan,39486
20200112,Queen,1691
20200113,Brooklyn,8152
20200113,Manhattan,40136
20200113,Queen,1150
20200114,Brooklyn,7384
20200114,Manhattan,35732
20200114,Queen,1028
20200115,Brooklyn,9001
20200115,Manhattan,43986
20200115,Queen,1264
20200116,Brooklyn,7305
20200116,Manhattan,36912
20200116,Queen,1030
20200117,Brooklyn,5744
20200117,Manhattan,27629
20200117,Queen,749
20200118,Brooklyn,3124
20200118,Manhattan,9839
20200118,Queen,338
20200119,Brooklyn,5558
20200119,Manhattan,19679
20200119,Queen,698
20200120,Brooklyn,4811
20200120,Manhattan,18772
20200120,Queen,647
20200121,Brooklyn,6081
20200121,Manhattan,30495
20200121,Queen,823
20200122,Brooklyn,7038
20200122,Manhattan,35356
20200122,Queen,1021
20200123,Brooklyn,7882
20200123,Manhattan,39273
20200123,Queen,1103
20200124,Brooklyn,8875
20200124,Manhattan,41295
20200124,Queen,1164
20200125,Brooklyn,4146
20200125,Manhattan,13101
20200125,Queen,487
20200126,Brooklyn,7878
20200126,Manhattan,27223
20200126,Queen,1020
20200127,Brooklyn,7594
20200127,Manhattan,37921
20200127,Queen,1019
20200128,Brooklyn,7928
20200128,Manhattan,39897
20200128,Queen,991
20200129,Brooklyn,7799
20200129,Manhattan,38598
20200129,Queen,989
20200130,Brooklyn,7399
20200130,Manhattan,37220
20200130,Queen,984
20200131,Brooklyn,8206
20200131,Manhattan,38054
20200131,Queen,1024
20200201,Brooklyn,7845
20200201,Manhattan,26724
20200201,Queen,973
20200202,Brooklyn,6404
20200202,Manhattan,21353
20200202,Queen,836
20200203,Brooklyn,8953
20200203,Manhattan,43300
20200203,Queen,1269
20200204,Brooklyn,8815
20200204,Manhattan,42380
20200204,Queen,1283
20200205,Brooklyn,8300
20200205,Manhattan,41102
20200205,Queen,1142
20200206,Brooklyn,5497
20200206,Manhattan,26001
20200206,Queen,658
20200207,Brooklyn,5602
20200207,Manhattan,26281
20200207,Queen,760
20200208,Brooklyn,7175
20200208,Manhattan,24662
20200208,Queen,946
20200209,Brooklyn,7085
20200209,Manhattan,24666
20200209,Queen,884
20200210,Brooklyn,4512
20200210,Manhattan,21654
20200210,Queen,566
20200211,Brooklyn,6298
20200211,Manhattan,30556
20200211,Queen,935
20200212,Brooklyn,8135
20200212,Manhattan,40066
20200212,Queen,1135
