month,borough,date,count_2019,count_2020,citibike_original,citibike
Feb,Brooklyn,20200201,4338,7845,0.808437068,80.8437068
Feb,Manhattan,20200201,20213,6537,-0.676594271,-67.6594271
Feb,Manhattan,20200202,16617,26724,0.608232533,60.8232533
Feb,Brooklyn,20200202,4876,6404,0.313371616,31.3371616
Feb,Brooklyn,20200203,7200,8953,0.243472222,24.3472222
Feb,Queen,20200203,926,973,0.05075594,5.075594
Feb,Manhattan,20200203,23806,21353,-0.10304125,-10.304125
Feb,Manhattan,20200204,37508,43300,0.15442039,15.442039
Feb,Brooklyn,20200204,7952,8815,0.108526157,10.8526157
Feb,Queen,20200204,914,836,-0.085339168,-8.5339168
Feb,Queen,20200205,1148,1269,0.105400697,10.5400697
Feb,Manhattan,20200205,43588,42380,-0.02771405,-2.771405
Feb,Brooklyn,20200205,9425,8300,-0.119363395,-11.9363395
Feb,Queen,20200206,836,1283,0.534688995,53.4688995
Feb,Manhattan,20200206,31474,41102,0.305903285,30.5903285
Feb,Brooklyn,20200206,6903,5497,-0.20367956,-20.367956
Feb,Queen,20200207,937,1142,0.218783351,21.8783351
Feb,Brooklyn,20200207,7178,5602,-0.219559766,-21.9559766
Feb,Manhattan,20200207,35062,26001,-0.258427928,-25.8427928
Feb,Brooklyn,20200208,6156,7175,0.165529565,16.5529565
Feb,Manhattan,20200208,29526,26281,-0.109903136,-10.9903136
Feb,Queen,20200208,772,658,-0.147668394,-14.7668394
Feb,Manhattan,20200209,17877,24662,0.379537954,37.9537954
Feb,Brooklyn,20200209,5227,7085,0.355462024,35.5462024
Feb,Queen,20200209,661,760,0.149773071,14.9773071
Feb,Queen,20200210,649,946,0.457627119,45.7627119
Feb,Manhattan,20200210,18132,24666,0.360357379,36.0357379
Feb,Brooklyn,20200210,5350,4512,-0.156635514,-15.6635514
Feb,Queen,20200211,790,884,0.118987342,11.8987342
Feb,Brooklyn,20200211,6657,6298,-0.053928196,-5.3928196
Feb,Manhattan,20200211,31189,21654,-0.305716759,-30.5716759
Feb,Brooklyn,20200212,2857,8135,1.84739237,184.739237
Feb,Manhattan,20200212,12611,30556,1.422964079,142.2964079
Feb,Queen,20200212,386,566,0.466321244,46.6321244
Feb,Queen,20200213,636,935,0.470125786,47.0125786
Feb,Manhattan,20200213,28340,40066,0.413761468,41.3761468
Feb,Brooklyn,20200213,5965,6204,0.040067058,4.0067058
Feb,Queen,20200214,863,1135,0.315179606,31.5179606
Feb,Brooklyn,20200214,6954,6265,-0.099079666,-9.9079666
Feb,Manhattan,20200214,33833,30374,-0.10223746,-10.223746
Feb,Queen,20200215,952,835,-0.12289916,-12.289916
Feb,Manhattan,20200215,38056,29824,-0.216312802,-21.6312802
Feb,Brooklyn,20200215,7855,4722,-0.398854233,-39.8854233
Feb,Brooklyn,20200216,7077,6027,-0.148367953,-14.8367953
Feb,Queen,20200216,1028,832,-0.190661479,-19.0661479
Feb,Manhattan,20200216,22929,16259,-0.290897989,-29.0897989
Feb,Brooklyn,20200217,5373,8542,0.589800856,58.9800856
Feb,Manhattan,20200217,17875,20491,0.14634965,14.634965
Feb,Queen,20200217,789,617,-0.217997465,-21.7997465
Feb,Manhattan,20200218,19820,31229,0.575630676,57.5630676
Feb,Brooklyn,20200218,5299,7296,0.376863559,37.6863559
Feb,Queen,20200218,708,758,0.070621469,7.0621469
Feb,Queen,20200219,772,1175,0.522020725,52.2020725
Feb,Brooklyn,20200219,5730,7987,0.393891798,39.3891798
Feb,Manhattan,20200219,28174,35770,0.269610279,26.9610279
Feb,Queen,20200220,423,1038,1.453900709,145.3900709
Feb,Manhattan,20200220,16562,40168,1.425310953,142.5310953
