month,state,county,date,driving,transit,walking
Feb,New York,BRONX,2020/2/1,8.23,-10.64,10.08
Feb,New York,BROOKLYN,2020/2/1,23.25,24.28,46.99
Feb,New York,MANHATTAN,2020/2/1,25.15,10.51,39.27
Feb,New York,QUEENS,2020/2/1,10.31,-0.5,17.09
Feb,New York,STATEN ISLAND,2020/2/1,17.76,-0.1,21.98
Feb,New York,BRONX,2020/2/2,-17.41,-31.55,-21.4
Feb,New York,BROOKLYN,2020/2/2,-4.51,-3.74,1.74
Feb,New York,MANHATTAN,2020/2/2,-12.36,-18.33,-13.67
Feb,New York,QUEENS,2020/2/2,-12.29,-19.35,-11.16
Feb,New York,STATEN ISLAND,2020/2/2,-11.25,-24.92,-7.88
Feb,New York,BRONX,2020/2/3,-0.13,-7.79,0.36
Feb,New York,BROOKLYN,2020/2/3,-1.7,-1.05,1.74
Feb,New York,MANHATTAN,2020/2/3,-8.48,-14.34,-4.79
Feb,New York,QUEENS,2020/2/3,-2.43,-8.33,-3.79
Feb,New York,STATEN ISLAND,2020/2/3,-2.52,3.71,2.09
Feb,New York,BRONX,2020/2/4,-3.11,-7.28,-0.7
Feb,New York,BROOKLYN,2020/2/4,-0.8,-0.24,0.9
Feb,New York,MANHATTAN,2020/2/4,-5.84,-10.62,-2.17
Feb,New York,QUEENS,2020/2/4,-3.13,-9.32,-5.93
Feb,New York,STATEN ISLAND,2020/2/4,-1,3.19,-1.56
Feb,New York,BRONX,2020/2/5,-1.62,-7.5,-2.07
Feb,New York,BROOKLYN,2020/2/5,0.03,-0.73,-0.18
Feb,New York,MANHATTAN,2020/2/5,-3.02,-7.73,-0.97
Feb,New York,QUEENS,2020/2/5,-1.59,-9.27,-6.66
Feb,New York,STATEN ISLAND,2020/2/5,8.37,1.44,0.68
Feb,New York,BRONX,2020/2/6,3.55,-10.14,-6.72
Feb,New York,BROOKLYN,2020/2/6,6.91,3.29,1.8
Feb,New York,MANHATTAN,2020/2/6,4.86,-1.86,2.59
Feb,New York,QUEENS,2020/2/6,4.84,-6.77,-8.01
Feb,New York,STATEN ISLAND,2020/2/6,7.14,3.21,-5.24
Feb,New York,BRONX,2020/2/7,15.95,-1.99,4.01
Feb,New York,BROOKLYN,2020/2/7,19.12,15.36,18.1
Feb,New York,MANHATTAN,2020/2/7,27.74,16.86,28.89
Feb,New York,QUEENS,2020/2/7,15.53,0.88,1.46
