country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,transit,walking
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/15/20,2,-5,0,-1,0,0,141.72,118.53,156.51
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/16/20,6,-2,4,1,-2,0,119.17,98.4,137.47
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/17/20,-5,-12,13,-25,-51,10,105.53,96.42,118.76
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/18/20,0,-2,5,-5,-6,2,101.68,94.21,106.36
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/19/20,2,-1,15,-1,-4,1,106.02,99.69,115.04
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/20/20,3,-1,6,-1,-5,1,111.83,103.89,116.01
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/21/20,-2,-5,-7,-4,-5,2,132.35,119.98,139.26
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/22/20,6,4,25,5,7,-1,140.44,120.39,161.14
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/23/20,0,2,18,1,2,-1,103.3,86.07,110.01
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/24/20,1,1,17,1,4,0,94.35,86.37,95.75
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/25/20,-3,-3,3,-1,3,1,97.46,88.92,92.34
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/26/20,-1,0,4,-1,3,0,100.31,92.42,101.15
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/27/20,1,2,6,0,3,0,107.15,98.04,103.93
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/28/20,0,1,-6,0,3,0,131.44,118.59,133.24
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,2/29/20,1,2,-2,-1,6,0,133.45,117.68,141.21
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/1/20,-3,2,-7,-3,1,0,99.76,84.89,102.44
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/2/20,3,6,17,-3,4,0,96.3,87.22,100.47
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/3/20,0,6,5,-1,3,0,98.74,90.22,97.39
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/4/20,3,9,13,-3,2,0,103.39,94.39,108.45
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/5/20,2,10,14,-2,2,0,110.85,99.33,115.85
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/6/20,-8,-3,-18,-4,-1,3,125.92,110.15,121.72
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/7/20,1,9,8,-2,7,0,132.34,113.11,149.46
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/8/20,-5,3,11,-4,0,0,99.64,82.55,109.48
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/9/20,0,6,34,-7,-3,2,100.97,86.84,113.63
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/10/20,-6,7,12,-11,-7,4,95.04,79.87,99.74
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/11/20,-10,7,9,-15,-12,5,88.53,74.69,91.79
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/12/20,-19,20,-4,-20,-18,8,79.11,60.15,74.71
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/13/20,-30,12,-18,-30,-26,10,77.37,54.57,71.05
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/14/20,-37,7,-14,-35,-9,5,62.72,46.55,60.88
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/15/20,-46,-2,-28,-42,-17,7,43.53,29.05,35.92
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/16/20,-48,-4,-40,-48,-48,18,40.83,22.92,25.56
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/17/20,-61,-9,-40,-55,-55,21,33.97,17.64,18.41
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/18/20,-65,-15,-38,-59,-58,22,31.1,15.08,16.32
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/19/20,-70,-25,-51,-63,-62,25,27.6,12.93,13.34
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/20/20,-71,-21,-49,-64,-63,26,28.71,12.67,14.99
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/21/20,-76,-23,-51,-67,-41,15,22.87,9.56,11.5
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/22/20,-81,-38,-66,-73,-48,16,17.36,7.46,7.53
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/23/20,-83,-57,-79,-77,-75,32,18.33,7.62,6.69
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/24/20,-79,-39,-56,-73,-74,29,19.63,8.09,8.9
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/25/20,-82,-48,-70,-75,-75,31,18.54,7.52,7.27
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/26/20,-81,-42,-56,-75,-75,31,19.61,8,8.72
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/27/20,-81,-45,-59,-75,-74,32,21.87,9.25,10.29
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/28/20,-86,-50,-77,-77,-56,20,17.8,6.99,6.69
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/29/20,-86,-51,-79,-78,-57,19,15.54,6.52,5.88
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/30/20,-82,-50,-68,-77,-77,31,18.49,7.76,7.86
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,3/31/20,-83,-49,-67,-78,-78,32,18.28,7.21,7.42
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/1/20,-82,-46,-62,-78,-77,31,18.44,7.04,7.61
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/2/20,-84,-47,-67,-79,-78,33,18.28,6.86,7.53
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/3/20,-85,-50,-79,-79,-78,34,19.82,7.09,7.45
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/4/20,-85,-43,-62,-77,-57,19,18.3,6.44,8.43
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/5/20,-85,-47,-67,-78,-56,18,16.39,6.15,6.93
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,4/6/20,-83,-48,-61,-79,-77,31,18.31,6.98,8.41
