stop_name,daytime_routes,division,line,Neighborhood,borough,borocd,poverty_rate,poverty 100,Near poverty,In or near poverty,density,2019  average,2020 average,%increase average,percent increase edit,sum 2019,2020 sum,under18_rate,over65_rate,pct_white_nh,pct_bach_deg,pct_hh_rent_burd,mean_commute,unemployment
Astoria - Ditmars Blvd,N W,BMT,Astoria,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.628730857,-62.87%,5328545,1951224,14.5,13,48.3,46.4,37.4,40,4.5
Hewes St,J M,BMT,Jamaica,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.581766558,-58.18%,1126340,464620,22,9.6,63,49.6,40.2,34.5,3.7
Marcy Av,J M Z,BMT,Jamaica,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.625355904,-62.54%,4737232,1750464,22,9.6,63,49.6,40.2,34.5,3.7
Bowery,J Z,BMT,Jamaica,"Greenwich Village, Soho",M,102,8.8,7.9,6.7,14.6,64297.14286,#DIV/0!,5298.277778,-0.670056654,-67.01%,1344043,441008,12.7,12.8,72.2,82.2,30.1,25.4,2.8
Broad St,J Z,BMT,Jamaica,Battery Park City,M,101,8.8,7.9,6.7,14.6,40652,14598.75342,5420.066667,-0.679397941,-67.94%,2232464,705928,12.7,12.8,72.2,82.2,30.1,25.4,2.8
Middle Village - Metropolitan Av,M,BMT,Myrtle Av,"Ridgewood, Glendale & Middle Village",Q,405,16.8,15.6,21.3,36.9,22558.66667,8375.747945,3130.233333,-0.524778294,-52.48%,1118058,524047,21.9,12.4,51.7,28.4,40.2,42.3,3.3
Fresh Pond Rd,M,BMT,Myrtle Av,"Ridgewood, Glendale & Middle Village",Q,405,16.8,15.6,21.3,36.9,22558.66667,8375.747945,3130.233333,-0.524999164,-52.50%,1810860,848377,21.9,12.4,51.7,28.4,40.2,42.3,3.3
Forest Av,M,BMT,Myrtle Av,"Ridgewood, Glendale & Middle Village",Q,405,16.8,15.6,21.3,36.9,22558.66667,8375.747945,3130.233333,-0.533241394,-53.32%,1322519,608841,21.9,12.4,51.7,28.4,40.2,42.3,3.3
Seneca Av,M,BMT,Myrtle Av,"Ridgewood, Glendale & Middle Village",Q,405,16.8,15.6,21.3,36.9,22558.66667,8375.747945,3130.233333,-0.5603905,-56.04%,1086632,471150,21.9,12.4,51.7,28.4,40.2,42.3,3.3
Knickerbocker Av,M,BMT,Myrtle Av,Bushwick,Bk,304,24.8,24.6,28.9,53.5,56317,2398.692308,1259.936111,-0.575870189,-57.59%,1548715,649638,20.5,9.1,18.9,29,47.2,41.3,5.6
