Date,Month,driving,transit,walking
1/13/20,1/20,100,100,100
1/14/20,1/20,94.86,87.97,93.98
1/15/20,1/20,99.23,91.82,105.31
1/16/20,1/20,103.35,94.74,102.57
1/17/20,1/20,122.96,109.53,118.23
1/18/20,1/20,115.13,105.36,124.6
1/19/20,1/20,107.98,96.43,118.85
1/20/20,1/20,87.73,81.77,83.28
1/21/20,1/20,90.64,87.05,84.55
1/22/20,1/20,95.43,92.49,94.43
1/23/20,1/20,102.7,97.42,103.71
1/24/20,1/20,125.13,114.35,134.92
1/25/20,1/20,122.78,108.64,125.54
1/26/20,1/20,98.26,85.77,100.1
1/27/20,1/20,87.7,84.46,88.64
1/28/20,1/20,91.01,87.88,91.75
1/29/20,1/20,95.13,90.6,94.88
1/30/20,1/20,102.22,98.87,101.26
1/31/20,1/20,124.78,112.96,128.5
2/1/20,2/20,125.15,110.51,139.27
2/2/20,2/20,87.64,81.67,86.33
2/3/20,2/20,91.52,85.66,95.21
2/4/20,2/20,94.16,89.38,97.83
2/5/20,2/20,96.98,92.27,99.03
2/6/20,2/20,104.86,98.14,102.59
2/7/20,2/20,127.74,116.86,128.89
2/8/20,2/20,135.69,120.86,149.75
2/9/20,2/20,103.3,89.17,105.43
2/10/20,2/20,94.76,87.37,88.01
2/11/20,2/20,100.37,92.84,97.54
2/12/20,2/20,101.32,95.34,102.51
2/13/20,2/20,111.18,103.58,106.79
2/14/20,2/20,146.48,124.9,148.02
2/15/20,2/20,141.72,118.53,156.51
2/16/20,2/20,119.17,98.4,137.47
2/17/20,2/20,105.53,96.42,118.76
2/18/20,2/20,101.68,94.21,106.36
2/19/20,2/20,106.02,99.69,115.04
2/20/20,2/20,111.83,103.89,116.01
2/21/20,2/20,132.35,119.98,139.26
2/22/20,2/20,140.44,120.39,161.14
2/23/20,2/20,103.3,86.07,110.01
2/24/20,2/20,94.35,86.37,95.75
2/25/20,2/20,97.46,88.92,92.34
2/26/20,2/20,100.31,92.42,101.15
2/27/20,2/20,107.15,98.04,103.93
2/28/20,2/20,131.44,118.59,133.24
2/29/20,2/20,133.45,117.68,141.21
3/1/20,3/20,99.76,84.89,102.44
3/2/20,3/20,96.3,87.22,100.47
3/3/20,3/20,98.74,90.22,97.39
3/4/20,3/20,103.39,94.39,108.45
3/5/20,3/20,110.85,99.33,115.85
